SerialNo,fileName
00﻿Seria,device not found in Vision DB
0018040245,No FOTA files available for this device
0018070474,No FOTA files available for this device
0018070446,No FOTA files available for this device
0018040262,No FOTA files available for this device
0018070606,No FOTA files available for this device
0018070427,No FOTA files available for this device
0018070780,No FOTA files available for this device
0018070437,No FOTA files available for this device
0018070670,No FOTA files available for this device
0018040284,No FOTA files available for this device
0018090900,No FOTA files available for this device
0018070680,No FOTA files available for this device
0018040293,No FOTA files available for this device
0018040078,No FOTA files available for this device
0018090863,No FOTA files available for this device
0018090823,No FOTA files available for this device
0018070584,No FOTA files available for this device
0018040263,No FOTA files available for this device
0018090901,No FOTA files available for this device
0018040180,No FOTA files available for this device
0018111206,No FOTA files available for this device
0018040325,No FOTA files available for this device
0018090846,No FOTA files available for this device
0018040349,No FOTA files available for this device
0018040322,No FOTA files available for this device
0018040033,No FOTA files available for this device
0018040195,No FOTA files available for this device
0018070561,No FOTA files available for this device
0018111185,No FOTA files available for this device
0018040219,No FOTA files available for this device
0018040194,No FOTA files available for this device
0018090879,No FOTA files available for this device
0018040064,No FOTA files available for this device
0018040036,No FOTA files available for this device
0018070751,No FOTA files available for this device
0018040398,No FOTA files available for this device
0018070609,No FOTA files available for this device
0018111116,No FOTA files available for this device
0018070768,No FOTA files available for this device
0018111108,No FOTA files available for this device
0018111109,No FOTA files available for this device
0018111161,No FOTA files available for this device
0018090887,No FOTA files available for this device
0018070468,No FOTA files available for this device
0018111041,No FOTA files available for this device
0018070564,No FOTA files available for this device
0018070531,No FOTA files available for this device
0018040080,No FOTA files available for this device
0018040105,No FOTA files available for this device
0018070604,No FOTA files available for this device
0018040235,No FOTA files available for this device
0018040060,No FOTA files available for this device
0018090830,No FOTA files available for this device
0018040081,No FOTA files available for this device
0018070621,No FOTA files available for this device
0018111080,No FOTA files available for this device
0018040347,No FOTA files available for this device
0018040320,No FOTA files available for this device
0018111167,No FOTA files available for this device
0018040296,No FOTA files available for this device
0018090950,No FOTA files available for this device
0018070539,No FOTA files available for this device
0018090898,No FOTA files available for this device
0018111178,No FOTA files available for this device
0018040022,No FOTA files available for this device
0018070653,No FOTA files available for this device
0018070685,No FOTA files available for this device
0018111056,No FOTA files available for this device
0018111101,No FOTA files available for this device
0018040306,No FOTA files available for this device
0018090932,No FOTA files available for this device
0018090164,No FOTA files available for this device
0018040331,No FOTA files available for this device
0018111121,No FOTA files available for this device
0018111061,No FOTA files available for this device
0018070595,No FOTA files available for this device
0018070794,No FOTA files available for this device
0018040294,No FOTA files available for this device
0018111194,No FOTA files available for this device
0018040223,No FOTA files available for this device
0018040102,No FOTA files available for this device
0018070660,No FOTA files available for this device
0018090825,No FOTA files available for this device
0018070729,No FOTA files available for this device
0018090984,No FOTA files available for this device
0018040035,No FOTA files available for this device
0018040153,No FOTA files available for this device
0018070661,No FOTA files available for this device
0018040364,No FOTA files available for this device
0018070588,No FOTA files available for this device
0018040199,No FOTA files available for this device
0018111091,No FOTA files available for this device
0018090841,No FOTA files available for this device
0018040051,No FOTA files available for this device
0018070618,No FOTA files available for this device
0018070541,No FOTA files available for this device
0018091002,No FOTA files available for this device
0018040169,No FOTA files available for this device
0018090877,No FOTA files available for this device
0018070711,No FOTA files available for this device
0018070550,No FOTA files available for this device
0018040117,No FOTA files available for this device
0018111064,No FOTA files available for this device
0018070445,No FOTA files available for this device
0018090964,No FOTA files available for this device
0018040378,No FOTA files available for this device
0018090948,No FOTA files available for this device
0018111068,No FOTA files available for this device
0018070666,No FOTA files available for this device
0018040212,No FOTA files available for this device
0018070628,No FOTA files available for this device
0018040058,No FOTA files available for this device
0018040130,No FOTA files available for this device
0018090820,No FOTA files available for this device
0018040162,No FOTA files available for this device
0018101022,No FOTA files available for this device
0018090919,No FOTA files available for this device
0018040237,No FOTA files available for this device
0018070471,No FOTA files available for this device
0018111110,No FOTA files available for this device
0018070638,No FOTA files available for this device
0018090870,No FOTA files available for this device
0018040350,No FOTA files available for this device
0018040373,No FOTA files available for this device
0018040292,No FOTA files available for this device
0018090880,No FOTA files available for this device
0018040134,No FOTA files available for this device
0018040084,No FOTA files available for this device
0018070622,No FOTA files available for this device
0018091004,No FOTA files available for this device
0018040186,No FOTA files available for this device
0018070428,No FOTA files available for this device
0018040172,No FOTA files available for this device
0018090891,No FOTA files available for this device
0018111098,No FOTA files available for this device
0018070415,No FOTA files available for this device
0018111115,No FOTA files available for this device
0018070612,No FOTA files available for this device
0018070784,No FOTA files available for this device
0018040308,No FOTA files available for this device
0018070750,No FOTA files available for this device
0018070715,No FOTA files available for this device
0018070477,No FOTA files available for this device
0018111208,No FOTA files available for this device
0018070651,No FOTA files available for this device
0018070712,No FOTA files available for this device
0018040206,No FOTA files available for this device
0018070633,No FOTA files available for this device
0018040157,No FOTA files available for this device
0018111139,No FOTA files available for this device
0018111082,No FOTA files available for this device
0018111133,No FOTA files available for this device
0018090924,No FOTA files available for this device
0018040147,No FOTA files available for this device
0018090922,No FOTA files available for this device
0018090953,No FOTA files available for this device
0018090860,No FOTA files available for this device
0018090892,No FOTA files available for this device
0018090937,No FOTA files available for this device
0018070458,No FOTA files available for this device
0018070429,No FOTA files available for this device
0018090902,No FOTA files available for this device
0018111026,No FOTA files available for this device
0018040391,No FOTA files available for this device
0018070731,No FOTA files available for this device
0018040407,No FOTA files available for this device
0018091007,No FOTA files available for this device
0018091017,No FOTA files available for this device
0018090886,No FOTA files available for this device
0018111186,No FOTA files available for this device
0018111089,No FOTA files available for this device
0018070511,No FOTA files available for this device
0018040218,No FOTA files available for this device
0018090917,No FOTA files available for this device
0018090947,No FOTA files available for this device
0018070567,No FOTA files available for this device
0018040099,No FOTA files available for this device
0018070537,No FOTA files available for this device
0018111118,No FOTA files available for this device
0018070475,No FOTA files available for this device
0018090958,No FOTA files available for this device
0018070693,No FOTA files available for this device
0018111184,No FOTA files available for this device
0018111202,No FOTA files available for this device
0018070569,No FOTA files available for this device
0018111183,No FOTA files available for this device
0018040200,No FOTA files available for this device
