,Total no of devices visible in server,1157,,,,,
,Total no of devices completed the download,920,,,,,
,Total no of devices remains pending,237,,,,,
,,,,,,Below mentioned serial numbers are part of pending serial numbers as well.,
,,,,,,,
,,,,,,,
S.No,Pending Serial Numbers,Pending Files,,,,S.No,Invisible Serial Numbers
137,18040403,ASD_OTA-SW_v1.1.tar.gz,,,,137,18111136
138,18040119,ASD_OTA-SW_v1.1.tar.gz,,,,138,18111138
139,18040365,ASD_OTA-SW_v1.1.tar.gz,,,,139,18111149
140,18040042,ASD_OTA-SW_v1.1.tar.gz,,,,140,18111150
141,18040121,ASD_OTA-SW_v1.1.tar.gz,,,,141,18111168
142,18040396,ASD_OTA-SW_v1.1.tar.gz,,,,142,18111180
143,18040362,ASD_OTA-SW_v1.1.tar.gz,,,,143,18090908
144,18040265,ASD_OTA-SW_v1.1.tar.gz,,,,144,18111132
145,18040366,ASD_OTA-SW_v1.1.tar.gz,,,,145,18111165
146,18040211,ASD_OTA-SW_v1.1.tar.gz,,,,146,18111163
147,18040038,ASD_OTA-SW_v1.1.tar.gz,,,,147,18090977
148,18040110,ASD_OTA-SW_v1.1.tar.gz,,,,148,18111162
149,18040397,ASD_OTA-SW_v1.1.tar.gz,,,,149,18040059
150,18040213,ASD_OTA-SW_v1.1.tar.gz,,,,150,18090907
151,18040111,ASD_OTA-SW_v1.1.tar.gz,,,,151,18070410
152,18040220,ASD_OTA-SW_v1.1.tar.gz,,,,152,18070424
153,18111210,ASD_OTA-SW_v1.1.tar.gz,,,,153,18070700
154,18090940,ASD_OTA-SW_v1.1.tar.gz,,,,154,18070555
155,18111083,ASD_OTA-SW_v1.1.tar.gz,,,,155,18070645
156,18111209,ASD_OTA-SW_v1.1.tar.gz,,,,156,18070649
157,18111052,ASD_OTA-SW_v1.1.tar.gz,,,,157,18070756
158,18040047,ASD_OTA-SW_v1.1.tar.gz,,,,158,18070451
159,18040230,ASD_OTA-SW_v1.1.tar.gz,,,,159,18070534
160,18040179,ASD_OTA-SW_v1.1.tar.gz,,,,160,18070438
161,18040231,ASD_OTA-SW_v1.1.tar.gz,,,,161,18111222
162,18040052,ASD_OTA-SW_v1.1.tar.gz,,,,162,18070692
163,18111077,ASD_OTA-SW_v1.1.tar.gz,,,,163,18070421
164,18040405,ASD_OTA-SW_v1.1.tar.gz,,,,164,18070677
