"No.","Time","MAC timestamp","Source","elevation","Severity level","Service Info PSID","Elevation","Checksum","Protocol","Latitude","Longitude","Destination Port","elevation"
"171","0.224398","","SiemensI_12:22:28","","","0xe0000003,0xe0000003,0xe0000003,0xe0000003,0xe0000003","700","","WSA","407425177","-739311200","",""
"172","0.276383","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"173","0.132154","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"174","0.191112","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"175","0.176149","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"176","0.500563","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"177","0.123090","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"178","0.108650","","SiemensI_12:22:28","","","0xe0000003,0xe0000003,0xe0000003,0xe0000003,0xe0000003","700","","WSA","407425177","-739311200","",""
"179","0.094115","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"180","0.173535","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"181","0.300290","","SiemensI_12:22:28","","","0xe0000003,0xe0000003,0xe0000003,0xe0000003,0xe0000003","700","","WSA","407425177","-739311200","",""
"182","0.200339","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"183","0.124386","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"184","0.099390","","SiemensI_12:22:28","","","0xe0000003,0xe0000003,0xe0000003,0xe0000003,0xe0000003","700","","WSA","407425177","-739311200","",""
"185","0.099758","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"186","0.175879","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"187","0.224149","","SiemensI_12:22:28","","","0xe0000003,0xe0000003,0xe0000003,0xe0000003,0xe0000003","700","","WSA","407425177","-739311200","",""
"188","0.275753","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"189","0.131143","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"190","0.093776","","SiemensI_12:22:28","","","0xe0000003,0xe0000003,0xe0000003,0xe0000003,0xe0000003","700","","WSA","407425177","-739311200","",""
"191","0.099589","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"192","0.175632","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"193","0.499940","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"194","0.123990","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"195","0.200035","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"196","0.175848","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"197","0.500804","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"198","0.223257","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"199","0.206418","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"200","0.070075","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"201","0.500176","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"202","0.123387","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"203","0.201651","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"204","0.174745","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"205","0.499531","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"206","0.126673","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"207","0.200741","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"208","0.172630","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"209","0.500035","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"210","0.125015","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"211","0.200142","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"212","0.174775","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"213","0.499985","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"214","0.125779","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"215","0.098418","","SiemensI_12:22:28","","","0xe0000003,0xe0000003,0xe0000003,0xe0000003,0xe0000003","700","","WSA","407425177","-739311200","",""
"216","0.099488","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"217","0.176351","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
