"No.","Time","MAC timestamp","Source","elevation","Severity level","Service Info PSID","Elevation","Checksum","Protocol","Latitude","Longitude","Destination Port","elevation","lat","long"
"146","0.101457","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"147","0.104663","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"148","0.103870","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"149","0.102330","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"150","0.104118","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"151","0.099966","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"152","0.096379","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"153","0.103308","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"154","0.105434","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"155","0.101452","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"156","0.099725","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"157","0.101952","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-4","-739299106,15"
"158","0.102664","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"159","0.097356","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"160","0.099134","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"161","0.098464","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"162","0.104471","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"163","0.097703","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"164","0.096460","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"165","0.098255","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"166","0.100294","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"167","0.097794","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"168","0.104003","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"169","0.095312","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"170","0.106484","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"171","0.099330","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"172","0.096045","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"173","0.101461","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"174","0.103080","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"175","0.099509","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"176","0.104312","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"177","0.098130","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"178","0.101968","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"179","0.102308","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"180","0.097781","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"181","0.095794","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"182","0.098844","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"183","0.095178","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"184","0.104418","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"185","0.100039","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"186","0.099329","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"187","0.096027","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-4","-739299106,15"
"188","0.105219","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"189","0.101175","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"190","0.097533","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"191","0.095742","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"192","0.103885","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"193","0.099870","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"194","0.101381","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,13"
"195","0.101487","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"196","0.104396","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"197","0.101216","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"198","0.099338","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"199","0.103282","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"200","0.102497","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"201","0.098138","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"202","0.098053","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"203","0.100170","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"204","0.102100","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"205","0.098772","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"206","0.096948","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"207","0.101470","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"208","0.099656","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"209","0.103083","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"210","0.100499","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"211","0.102338","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"212","0.100400","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,17"
"213","0.100453","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"214","0.096165","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,13"
"215","0.096611","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"216","0.104349","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"217","0.098764","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-4","-739299106,15"
"218","0.105510","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-4","-739299106,15"
"219","0.095768","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"220","0.103546","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"221","0.098358","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"222","0.096538","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
